variable,source,horizon,metric,value
sin,teacher_forced,19,r2,0.6740358471870422
sin,recursive,19,r2,-0.12240231037139893
sin,teacher_forced,20,r2,0.6773364543914795
sin,recursive,20,r2,-0.1826915740966797
sin,teacher_forced,21,r2,0.6709592342376709
sin,recursive,21,r2,-0.24022173881530762
sin,teacher_forced,22,r2,0.644781231880188
sin,recursive,22,r2,-0.25443291664123535
sin,teacher_forced,23,r2,0.607607364654541
sin,recursive,23,r2,-0.29066622257232666
sin,teacher_forced,24,r2,0.5976833701133728
sin,recursive,24,r2,-0.3629176616668701
cos,teacher_forced,1,r2,0.6004258990287781
cos,recursive,1,r2,0.5489488244056702
cos,teacher_forced,2,r2,0.5737439393997192
cos,recursive,2,r2,0.49649375677108765
cos,teacher_forced,3,r2,0.5622298121452332
cos,recursive,3,r2,0.42091894149780273
cos,teacher_forced,4,r2,0.5758092403411865
cos,recursive,4,r2,0.3719233274459839
cos,teacher_forced,5,r2,0.6058008670806885
cos,recursive,5,r2,0.3667713403701782
cos,teacher_forced,6,r2,0.6174484491348267
cos,recursive,6,r2,0.3130417466163635
cos,teacher_forced,7,r2,0.608174204826355
cos,recursive,7,r2,0.28445953130722046
cos,teacher_forced,8,r2,0.6330175399780273
cos,recursive,8,r2,0.2687646150588989
cos,teacher_forced,9,r2,0.6174284219741821
cos,recursive,9,r2,0.19314974546432495
cos,teacher_forced,10,r2,0.5865265727043152
cos,recursive,10,r2,0.14713609218597412
cos,teacher_forced,11,r2,0.6065847873687744
cos,recursive,11,r2,0.07397383451461792
cos,teacher_forced,12,r2,0.5615460872650146
cos,recursive,12,r2,0.027478158473968506
cos,teacher_forced,13,r2,0.5757275223731995
cos,recursive,13,r2,0.0001793503761291504
cos,teacher_forced,14,r2,0.6113260984420776
cos,recursive,14,r2,0.02390378713607788
cos,teacher_forced,15,r2,0.6110436320304871
cos,recursive,15,r2,-0.10600650310516357
cos,teacher_forced,16,r2,0.6172099113464355
cos,recursive,16,r2,-0.09062981605529785
cos,teacher_forced,17,r2,0.6118993759155273
cos,recursive,17,r2,-0.1849510669708252
cos,teacher_forced,18,r2,0.622712254524231
cos,recursive,18,r2,-0.18052411079406738
cos,teacher_forced,19,r2,0.6239520311355591
cos,recursive,19,r2,-0.16680407524108887
cos,teacher_forced,20,r2,0.6381904482841492
cos,recursive,20,r2,-0.219527006149292
cos,teacher_forced,21,r2,0.6200141310691833
cos,recursive,21,r2,-0.2344754934310913
cos,teacher_forced,22,r2,0.6057261228561401
cos,recursive,22,r2,-0.26899802684783936
cos,teacher_forced,23,r2,0.6071566939353943
cos,recursive,23,r2,-0.3011469841003418
cos,teacher_forced,24,r2,0.5843631625175476
cos,recursive,24,r2,-0.36927568912506104
theta4,teacher_forced,1,accuracy,0.75390625
theta4,recursive,1,accuracy,0.712890625
theta4,teacher_forced,2,accuracy,0.724609375
theta4,recursive,2,accuracy,0.6640625
theta4,teacher_forced,3,accuracy,0.70703125
theta4,recursive,3,accuracy,0.599609375
theta4,teacher_forced,4,accuracy,0.703125
theta4,recursive,4,accuracy,0.580078125
theta4,teacher_forced,5,accuracy,0.759765625
theta4,recursive,5,accuracy,0.54296875
theta4,teacher_forced,6,accuracy,0.75390625
theta4,recursive,6,accuracy,0.533203125
theta4,teacher_forced,7,accuracy,0.720703125
theta4,recursive,7,accuracy,0.564453125
theta4,teacher_forced,8,accuracy,0.736328125
theta4,recursive,8,accuracy,0.5078125
theta4,teacher_forced,9,accuracy,0.755859375
theta4,recursive,9,accuracy,0.470703125
theta4,teacher_forced,10,accuracy,0.72265625
theta4,recursive,10,accuracy,0.435546875
theta4,teacher_forced,11,accuracy,0.75
theta4,recursive,11,accuracy,0.427734375
theta4,teacher_forced,12,accuracy,0.72265625
theta4,recursive,12,accuracy,0.416015625
theta4,teacher_forced,13,accuracy,0.734375
theta4,recursive,13,accuracy,0.369140625
theta4,teacher_forced,14,accuracy,0.748046875
theta4,recursive,14,accuracy,0.361328125
theta4,teacher_forced,15,accuracy,0.744140625
theta4,recursive,15,accuracy,0.361328125
theta4,teacher_forced,16,accuracy,0.75
theta4,recursive,16,accuracy,0.34765625
theta4,teacher_forced,17,accuracy,0.7890625
theta4,recursive,17,accuracy,0.294921875
theta4,teacher_forced,18,accuracy,0.763671875
theta4,recursive,18,accuracy,0.30859375
theta4,teacher_forced,19,accuracy,0.74609375
theta4,recursive,19,accuracy,0.302734375
theta4,teacher_forced,20,accuracy,0.7421875
theta4,recursive,20,accuracy,0.302734375
theta4,teacher_forced,21,accuracy,0.751953125
theta4,recursive,21,accuracy,0.283203125
theta4,teacher_forced,22,accuracy,0.71875
theta4,recursive,22,accuracy,0.267578125
theta4,teacher_forced,23,accuracy,0.72265625
theta4,recursive,23,accuracy,0.21484375
theta4,teacher_forced,24,accuracy,0.708984375
theta4,recursive,24,accuracy,0.21875
